short,stem,long,stem_count,long_count
dbm,{'deep boltzmann machin'},{'deep boltzmann machine'},1,1
dbn,"{'deep belief network', 'deep belief net'}","{'deep belief networks', 'deep belief network', 'deep belief net'}",3,3
dbn-dl,{'deep belief network base deep learn'},{'deep belief network based deep learning'},1,1
dbnn,{'deep belief neural network'},{'deep belief neural network'},1,1
dbns,"{'dynam bayesian network', 'deep belief network'}","{'dynamic bayesian networks', 'deep belief networks'}",2,2
dbp,{'differenti boundari pattern'},{'differential boundary pattern'},1,1
dca,{'discrimin correl analysi'},{'discriminant correlation analysis'},1,1
dcann,{'dynam choos artifici neural network'},{'dynamic choosing artificial neural network'},1,1
dccm,{'deep convolut comput model'},{'deep convolutional computation model'},1,1
dce,{'discret curv evolut'},{'discrete-curve evolution'},1,1
dce-mri,{'dynam contrast enhanc magnet reson imag'},{'dynamic contrast enhanced magnetic resonance imaging'},1,1
dcnn,"{'deep convolut neural network', 'dual channel neural network'}","{'deep convolutional neural networks', 'dual-channel neural networks', 'deep convolutional neural network', 'deep convolution neural network'}",4,4
dcnns,"{'deep convolut neural network ,'}","{'deep convolutional neural networks,'}",1,1
dct,{'discret cosin transform'},{'discrete cosine transform'},1,1
dcton,{'distribut of color ton'},{'distribution of color ton'},1,1
dd,"{'distanc densiti', 'degre distribut'}","{'distance density', 'degree distribution'}",2,2
dda,{'dynam difficulti adjust'},{'dynamic difficulty adjustment'},1,1
ddae,{'deep denois autoencod'},{'deep denoising autoencoder'},1,1
ddbn,{'discrimin deep belief network'},"{'discriminative deep belief network', 'discriminative deep belief networks'}",2,2
ddi,{'drug drug interact'},{'drug-drug interaction'},1,1
ddkl,{'down down keystrok latenc'},{'down-down keystroke latency'},1,1
ddna,{'decision dna'},{'decisional dna'},1,1
ddos,{'distribut denial of servic'},"{'distributed denial-of-service', 'distributed denial of service'}",2,2
ddp,{'data driven predict'},{'data-driven prediction'},1,1
dds,{'data distribut servic'},{'data distribution service'},1,1
ddwt,{'discreet dyadic wavelet transform'},{'discreet dyadic wavelet transform'},1,1
de,{'differenti evolut'},{'differential evolution'},1,1
dec,{'display energi certif'},{'display energy certificate'},1,1
deep learning,{'artifici intellig'},{'artificial intelligence'},1,1
deletion,{'insert'},{'insertion'},1,1
delm,{'deep extrem learn machin'},{'deep extreme learning machine'},1,1
demosaicing,{'interpol'},{'interpolation'},1,1
df,"{'data fusion', 'domin frequenc'}","{'data fusion', 'dominant frequency'}",2,2
dfm,{'design for manufactur'},{'design for manufacturability'},1,1
dfr,{'design for reliabl'},{'design-for-reliability'},1,1
dft,{'densiti function theori'},{'density functional theory'},1,1
dg,{'invert base distribut generat'},{'inverter-based distributed generation'},1,1
dga,"{'dissolv gas analysi', 'domain generat algorithm'}","{'dissolved gas analysis', 'domain generation algorithm'}",2,2
dgas,{'domain generat algorithm'},{'domain generation algorithms'},1,1
dgc,{'data gravit base classif'},{'data gravitation based classification'},1,1
dgms,{'deep generat model'},{'deep generative models'},1,1
dhmm,"{'discret hidden markov model', 'durat hmm'}","{'discrete hidden markov model', 'duration hmm'}",2,2
dhs-artmap,{'distribut hyper spheric artmap'},{'distributed hyper-spherical artmap'},1,1
di,{'data integr'},{'data integrator'},1,1
diagnostic,{'classif'},{'classification'},1,1
dicom,{'digit imag and communic in medicin'},{'digital imaging and communications in medicine'},1,1
differential,{'decrement'},{'decremental'},1,1
dip,"{'qualiti discrimin imag pair', 'voltag sag'}","{'voltage sag', 'quality-discriminable image pair'}",2,2
dkdf,{'distribut knowledg discoveri framework'},{'distributed knowledge discovery framework'},1,1
dknn,{'deep kohonen neural network'},{'deep kohonen neural network'},1,1
dkt,{'deep knowledg trace'},{'deep knowledge tracing'},1,1
dl,"{'coupl dictionari learn', 'class specif dictionari learn', 'deep learn'}","{'class-specific dictionary learning', 'deep learning', 'coupled dictionary learning'}",3,3
dla,{'deep learn algorithm'},{'deep learning algorithm'},1,1
dlanns,{'deep learn ann'},{'deep learning anns'},1,1
dlbi,{'deep learn base identif'},{'deep learning based identification'},1,1
dln,{'deep learn network'},{'deep learning network'},1,1
dlnn,{'deep learn neural network'},{'deep learning neural network'},1,1
dm,{'data mine'},{'data mining'},1,1
dma,{'dynam mechan analysi'},{'dynamic mechanical analysis'},1,1
dme,{'diabet macular edema'},{'diabetic macular edema'},1,1
dml,"{'distanc metric learn', 'deep manifold learn'}","{'deep manifold learning', 'distance metric learning'}",2,2
dmla,{'dynam machin learn approach'},{'dynamic machine learning approach'},1,1
dmrf,{'discret markov random field'},{'discrete markov random field'},1,1
dna,{'deoxyribonucl acid'},{'deoxyribonucleic acid'},1,1
dndp,{'discret network design problem'},{'discrete network design problem'},1,1
dnn,{'deep neural network'},"{'deep neural networks', 'deep neural network'}",2,2
dnns,{'deep neural network'},{'deep neural networks'},1,1
dns,{'domain name servic'},{'domain name service'},1,1
doa,{'direct of arriv'},{'direction of arrival'},1,1
doe,{'design of experi'},{'design of experiments'},1,1
doepp,{'discrimin orthogon elast preserv project'},{'discriminative orthogonal elastic preserving projections'},1,1
dos,{'denial of servic'},{'denial-of-service'},1,1
dp,{'dynam program'},{'dynamic programming'},1,1
dpm,{'dirichlet process mixtur'},{'dirichlet process mixture'},1,1
dps,{'distribut paramet system'},{'distributed parameter system'},1,1
dq-lut,{'distribut quad lut'},{'distributed quad-lut'},1,1
dr,"{'reconstruct nonlinear dimension reduct', 'diabet retinopathi', 'disast recoveri', 'dimens reduct', 'demand respons'}","{'dimension reduction', 'diabetic retinopathy', 'reconstructible nonlinear dimensionality reduction', 'demand response', 'disaster recovery'}",5,5
drl,{'deep reinforc learn'},{'deep reinforcement learning'},1,1
drlsc,{'discrimin regular least squar classifi'},{'discriminatively regularized least square classifier'},1,1
drnn,{'deep recurr neural network'},{'deep recurrent neural network'},1,1
drr,{'direct to reverber energi ratio'},"{'direct-to-reverberation energy ratio', 'direct-to-reverberant energy ratio'}",2,2
drsa,{'domin base rough set approach'},{'dominance-based rough set approach'},1,1
dsa,{'direct self assembl'},{'directed self-assembly'},1,1
dsae,{'deep stack autoencod'},{'deep stacked autoencoder'},1,1
dslr,{'digit singl len reflex'},{'digital single lens reflex'},1,1
dsm,"{'demand side manag', 'differ similitud matrix', 'digit surfac model'}","{'demand side management', 'difference-similitude matrix', 'digital surface model'}",3,3
dsn,{'deep stack network'},{'deep stacking network'},1,1
dsnn-1,{'deep synerget neural network  one'},{'deep synergetic neural network- one'},1,1
dso,{'distribut system oper'},{'distribution system operator'},1,1
dsom,{'deep self organ map'},{'deep self organizing map'},1,1
dsp,"{'digit signal process', 'dynam synchron parallel strategi'}","{'dynamic synchronous parallel strategy', 'digital signal process'}",2,2
dsr,{'design scienc research'},{'design science research'},1,1
dss,{'decis support system'},"{'decision support systems', 'decision support system'}",2,2
dsss,{'decis support system'},{'decision support systems'},1,1
dsvms,{'distribut support vector machin'},{'distributed support vector machines'},1,1
dt,{'decis tree'},"{'decision trees', 'decision tree'}",2,2
dt-cwt,{'dual tree complex wavelet transform'},{'dual-tree complex wavelet transform'},1,1
dtcwpt,{'dual tree complex wavelet packet transform'},{'dual-tree complex wavelet packet transform'},1,1
dtcwt,{'dual tree complex wavelet transform'},{'dual tree complex wavelet transform'},1,1
dth,{'deep transfer hash'},{'deep transfer hashing'},1,1
dti,{'diffus tensor imag'},{'diffusion tensor imaging'},1,1
dtm,"{'digit terrain model', 'digit tomosynthesi mammographi'}","{'digital tomosynthesis mammography', 'digital terrain models', 'digital terrain model'}",3,3
dtsep,{'dynam thermo sensit electr paramet'},{'dynamic thermo-sensitive electrical parameter'},1,1
dtw,{'dynam time warp'},{'dynamic time warping'},1,1
dudley metric,{'dual bound lipschitz distanc'},{'dual-bounded lipschitz distance'},1,1
dv,{'design verif'},{'design verification'},1,1
dv-hop,{'distanc vector hop'},{'distance vector hop'},1,1
dvc,{'distribut video code'},{'distributed video coding'},1,1
dvfs,{'dynam voltag and frequenc scale'},{'dynamic voltage and frequency scaling'},1,1
dvg,{'differ visibl graph'},{'difference visibility graph'},1,1
dvr,{'dynam voltag restor'},{'dynamic voltage restorer'},1,1
dwt,{'discret wavelet transform'},"{'discrete wavelet transform', 'discrete wavelet transformation'}",2,2
e-state,{'electrotopolog state'},{'electrotopological-state'},1,1
e.o.g,{'electro oculographi'},{'electro-oculography'},1,1
eas,{'evolutionari algorithm'},{'evolutionary algorithms'},1,1
ec,"{'evolutionari classifi', 'eddi current', 'evolutionari comput'}","{'evolutionary computation', 'evolutionary classifier', 'eddy currents', 'evolutionary computing'}",4,4
ecd,{'electr cd'},{'electrical cd'},1,1
ecfg,{'extend context free grammar'},{'extended context free grammar'},1,1
ecfp_4,{'extend connect fingerprint'},{'extended connectivity fingerprints'},1,1
ecg,"{'electrocardiograph', 'public domain electrocardiogram', 'electrocardiographi', 'person electrocardiogram', 'singl lead electrocardiogram', 'electrocardiogram'}","{'electrocardiography', 'personalized electrocardiogram', 'public domain electrocardiogram', 'electrocardiograph', 'electrocardiographic', 'single-lead electrocardiogram', 'electrocardiogram'}",7,7
eclass,{'extend class'},{'extended class'},1,1
ecmwf,{'european centr for medium rang weather forecast'},{'european centre for medium-range weather forecasts'},1,1
ecoc,{'error correct output code'},"{'error correcting output codes', 'error-correcting output codes'}",2,2
ecsp,{'edg cross section profil'},{'edge cross-section profile'},1,1
ect,"{'electr capacit tomographi', 'eddi current test'}","{'electrical capacitance tomography', 'eddy current testing'}",2,2
ecus,{'electron control unit'},{'electronic control units'},1,1
edadt,{'effici data adapt decis tree'},{'efficient data adapted decision tree'},1,1
edc,{'exponenti decay characterist'},{'exponential decay characteristic'},1,1
edfa,{'erbium dope fiber amplifi'},{'erbium-doped fiber amplifiers'},1,1
edm,{'educ data mine'},{'educational data mining'},1,1
ee,{'energi expenditur'},{'energy expenditure'},1,1
eeg,"{'electroen cephalographi', 'electroenceptographi', 'electroencephalograph', 'electro encephalo gram', 'electroencephalogram signal', 'scalp electroencephalographi', 'dri electroencephalograph', 'electroencephalographi', 'electroencephalogram'}","{'electroenceptography', 'scalp electroencephalography', 'electroencephalographic', 'electroencephalograph', 'electro encephalo gram', 'electroencephalogram signals', 'electroen-cephalography', 'electroencephalography', 'dry electroencephalographic', 'electroencephalogram'}",10,10
egcs,{'elev group control system'},{'elevator group control system'},1,1
egv,{'electr ground vehicl'},{'electric ground vehicle'},1,1
egwo,{'experienc gray wolf optim'},{'experienced gray wolf optimization'},1,1
ehg,{'electrohysterogram'},{'electrohysterogram'},1,1
ehr,"{'sampl from longitudin electron health record', 'electron health record'}","{'sampling from longitudinal electronic health records', 'electronic health records'}",2,2
ehrs,{'electron health record'},{'electronic health records'},1,1
ei,{'entropi gain inform'},{'entropy gain information'},1,1
eid,{'equival input disturb'},{'equivalent input disturbance'},1,1
eis,{'enterpris inform system'},{'enterprise information system'},1,1
eit,{'electr imped tomographi'},{'electrical impedance tomography'},1,1
ejs,{'easi java simul'},{'easy java simulation'},1,1
ekf,{'extend kalman filter'},{'extended kalman filter'},1,1
el,{'ensembl learn'},{'ensemble learning'},1,1
elearning,{'web base learning/dist learn'},{'web-based learning/distance learning'},1,1
electric,{'discharg'},{'discharges'},1,1
elm,"{'extrem learningmachin', 'extrem learn machin', 'extrem machin learn', 'extremem learn machin'}","{'extreme learning machines', 'extreme learningmachine', 'extrememe learning machine', 'extreme machine learning', 'extreme learning machine'}",5,5
elsd,{'ellips and line segment detector'},{'ellipse and line segment detector'},1,1
elw,{'equiti link warrant'},{'equity linked warrant'},1,1
em,"{'electro migrat', 'expect maxim', 'electromagnet', 'expect maxim cluster algorithm'}","{'expectation-maximization', 'expectation maximization', 'expectation maximization clustering algorithm', 'electro-migration', 'electromagnetic'}",5,5
emap,{'extend multi attribut profil'},{'extend multi-attribute profiles'},1,1
emaps,{'extend multiattribut profil'},{'extended multiattribute profiles'},1,1
emat,{'electromagnet acoust transduc'},{'electromagnetic acoustic transducer'},1,1
emc,{'electromagnet compat'},{'electromagnetic compatibility'},1,1
emd,"{'empir mode decomposit', 'entropi minim discret'}","{'empirical mode decomposition', 'entropy minimization discretization'}",2,2
emg,"{'electromyogram', 'high densiti electromyographi', 'electromyograph', 'surfac electromyogram', 'electromyographi'}","{'electromyography', 'electromyogram', 'surface electromyogram', 'high-density electromyography', 'electromyographic'}",5,5
emh,{'effici market hypothesi'},{'efficient market hypothesis'},1,1
emi,{'electromagnet interfer'},{'electromagnetic interference'},1,1
eml,{'extrem machin learn'},{'extreme machine learning'},1,1
emo,{'evolutionari multiobject optim'},{'evolutionary multiobjective optimization'},1,1
emp,{'extend morpholog profil'},{'extended morphological profile'},1,1
emr,{'electron medic record'},{'electronic medical record'},1,1
emss,{'energi manag system'},{'energy management systems'},1,1
emt,"{'electromagnet track', 'electromagnet tomographi'}","{'electromagnetic tracking', 'electromagnetic tomography'}",2,2
end,{'energi not distribut'},{'energy-not-distributed'},1,1
eoc,{'ensembl one class classifi'},{'ensemble one-class classifier'},1,1
eodh,{'edg orient differ histogram'},{'edge orientation difference histogram'},1,1
eog,"{'electro oculographi', 'elctro oculogram', 'electrooculogram', 'electrooculographi'}","{'electro-oculography', 'electrooculography', 'elctro-oculogram', 'electrooculogram'}",4,4
eon,{'elast optic network'},{'elastic optical networks'},1,1
eos,{'earli onset schizophrenia'},{'early-onset schizophrenia'},1,1
ep,{'evolutionari program'},{'evolutionary programming'},1,1
eps,"{'edg preserv smooth', 'european polar system'}","{'edge-preserving smoothing', 'european polar system'}",2,2
epu,{'econom polici uncertainti'},{'economic policy uncertainty'},1,1
erd,{'event relat desynchron'},{'event-related desynchronization'},1,1
erd/ers,{'event relat ( de ) synchron'},{'event-related (de)synchronization'},1,1
erd/s,{'event relat desynchronization/synchron'},{'event-related desynchronization/synchronization'},1,1
erm,{'experi risk minim'},{'experience risk minimization'},1,1
erp,{'event relat potenti'},{'event-related potential'},1,1
erps,{'event relat potenti'},{'event-related potentials'},1,1
errp,"{'error potenti', 'errorrel potenti'}","{'errorrelated potential', 'error potentials'}",2,2
es,"{'evolut strategi', 'electrograph seizur'}","{'electrographic seizure', 'evolution strategies'}",2,2
esns,{'echo state network'},{'echo-state networks'},1,1
ess,{'energi storag system'},{'energy storage system'},1,1
est,"{'extend sub tree', 'eigenspac separ transform'}","{'eigenspace separation transform', 'extended sub tree'}",2,2
estdms,{'evolv spatiotempor data machin'},{'evolving spatiotemporal data machines'},1,1
et,{'evapotranspir'},{'evapotranspiration'},1,1
etd,{'energi theft detector'},{'energy theft detector'},1,1
etl,"{'extract transform and load', 'extract , transform , and load'}","{'extraction, transformation, and load', 'extract transform and load'}",2,2
etm+,"{'remot sensor data , landsat enhanc themat mapper plus'}","{'remote sensor data, landsat enhanced thematic mapper plus'}",1,1
eus,{'endoscop ultrasonographi'},{'endoscopic ultrasonography'},1,1
ev,{'electr vehicl'},{'electric vehicle'},1,1
evar,{'endovascular aneurysm repair'},{'endovascular aneurysm repair'},1,1
ewom,{'electron word of mouth'},{'electronic word of mouth'},1,1
ewt,{'empir wavelet transform'},{'empirical wavelet transform'},1,1
exi,{'effici xml interchang'},{'efficient xml interchange'},1,1
f-pca,{'fold princip compon analysi'},{'folded principal component analysis'},1,1
fa,{'fals alarm'},{'false alarm'},1,1
fab,{'wafer fabric'},{'wafer fabrication'},1,1
facs,{'facial action code system'},{'facial action coding system'},1,1
facts,{'flexibl ac transmiss system'},{'flexible ac transmission systems'},1,1
fanova,{'function analysi of varianc'},{'functional analysis of variance'},1,1
far,"{'fals alarm rate', 'fault reject rate ( frr ) and fault accept rate'}","{'fault rejection rate (frr) and fault acceptance rate', 'false alarm rate'}",2,2
fault,{'diagnosi'},{'diagnosis'},1,1
fbg,"{'fiber bragg grate sensor', 'fiber bragg grate'}","{'fiber bragg gratings', 'fiber bragg grating sensor'}",2,2
fc,{'high order function connect'},{'high-order functional connectivity'},1,1
fca,"{'formal concept analys', 'formal concept analysi'}","{'formal concept analysis', 'formal concept analyses'}",2,2
fcbf,{'fast correl base filter'},{'fast correlation-based filter'},1,1
fchm,{'frequent call hot method'},{'frequently called hot methods'},1,1
fcl-net,{'fusion convolut long short term memori network'},{'fusion convolutional long short-term memory network'},1,1
fcm,"{'fuzzi c mean', 'fuzzi c mean cluster'}","{'fuzzy c-means', 'fuzzy c-means clustering'}",2,2
fcm-c,{'fuzzi c mean cluster'},{'fuzzy c-means clustering'},1,1
fcml,{'fli capacitor multilevel'},{'flying capacitor multilevel'},1,1
fcn,{'fulli convolut network'},"{'fully convolutional networks', 'fully convolutional network'}",2,2
fcns,{'fulli convolut neural network'},{'fully convolutional neural networks'},1,1
fd,{'fractal dimens'},{'fractal dimension'},1,1
fdc,{'fault detect classif'},{'fault detect classification'},1,1
fdd,{'fault detect and diagnosi'},{'fault detection and diagnosis'},1,1
fdi,{'fals data inject'},{'false data injection'},1,1
fds,{'fulli develop speckl'},{'fully developed speckle'},1,1
fe,"{'featur extract', 'finit element', 'first episod'}","{'finite element', 'finite-element', 'feature extraction', 'first-episode'}",4,4
fea,{'finit element analysi'},{'finite element analysis'},1,1
features,{'molecular descriptor'},{'molecular descriptors'},1,1
fecg,"{'foetal ecg', 'fetal electrocardiogram'}","{'foetal ecg', 'fetal electrocardiogram'}",2,2
fem,{'finit element model'},{'finite element model'},1,1
fer,{'facial express recognit'},{'facial expression recognition'},1,1
fes,{'function electr stimul'},{'functional electrical stimulation'},1,1
ffdm,{'full field digit mammographi'},{'full-field digital mammography'},1,1
fff,{'fuse filament fabric'},{'fused filament fabrication'},1,1
fgs,{'fast global smoother'},{'fast global smoother'},1,1
fhr,{'fetal heart rate'},{'fetal heart rate'},1,1
fig,{'fuzzi inform granul'},{'fuzzy information granules'},1,1
fintech,{'financi technolog'},{'financial technology'},1,1
fknn,{'fuzzi k nearest neighbor'},{'fuzzy k-nearest neighbor'},1,1
fl,{'fuzzi logic'},{'fuzzy logic'},1,1
fla,{'fuzzi learn algorithm'},{'fuzzy learning algorithm'},1,1
flc,{'fuzzi logic control'},"{'fuzzy logic controller', 'fuzzy logic control'}",2,2
flda,"{""fisher 's linear discrimin analysi""}","{""fisher's linear discriminant analysis""}",1,1
fle-mcf,{'fast link exchang minimum cost forward'},{'fast link exchange minimum cost forwarding'},1,1
flf,{'first order low pass filter'},{'first-order low-pass filter'},1,1
flnn,{'function link neural network'},{'functional link neural network'},1,1
flos,{'fraction lower order statist'},{'fractional lower-order statistics'},1,1
flr,{'fuzzi lattic reason'},{'fuzzy lattice reasoning'},1,1
fm,{'facil manag'},{'facility management'},1,1
fmd,{'fast mode decis'},{'fast mode decision'},1,1
fmg,{'forc myographi'},{'force myography'},1,1
fmi,{'function mockup interfac'},{'functional mockup interface'},1,1
fmri,"{'function magnet reson imag', 'function mri', 'rest state function magnet reson imag'}","{'functional magnetic resonance imaging', 'functional mri', 'resting-state functional magnetic resonance imaging'}",3,3
fms,{'flexibl manufactur system'},{'flexible manufacturing system'},1,1
fnir,{'function near infrar'},{'functional near infrared'},1,1
fnirs,{'function near infrar spectroscopi'},{'functional near-infrared spectroscopy'},1,1
fnn,"{'feed forward neural network', 'fuzzi neural network'}","{'fuzzy neural network', 'feed-forward neural network'}",2,2
fnnrw,{'feedforward neural network with random weight'},{'feedforward neural networks with random weights'},1,1
fnns,"{'fuzzi neural network', 'rank 1 feedforward neural network'}","{'fuzzy neural networks', 'rank-1 feedforward neural networks'}",2,2
fnr,{'fals negat rate'},{'false negative rate'},1,1
foc,{'field orient control'},{'field-oriented control'},1,1
focc,{'fourth order correl coeffici'},{'fourth-order correlation coefficient'},1,1
fodpso,{'fraction order darwinian particl swarm optim'},{'fractional order darwinian particle swarm optimization'},1,1
fot,{'flock of tracker'},{'flock of tracker'},1,1
fp,{'fals posit'},"{'false positive', 'false-positive'}",2,2
fpar,"{'fraction of photo synthet activ radiat', 'fraction of photosynthet activ radiat'}","{'fraction of photosynthetically-active radiation', 'fraction of photo-synthetically active radiation'}",2,2
fpga,"{'fieldprogramm gate array', 'field programm gate array'}","{'fieldprogrammable gate array', 'field programmable gate array', 'field programmable gate arrays', 'field-programmable gate array'}",4,4
fppr,{'facial pose pre recognit'},{'facial pose pre-recognition'},1,1
fpr,{'fals posit rate'},{'false positive rate'},1,1
fpt,{'fuzzi pattern tree'},{'fuzzy pattern trees'},1,1
fqrs,{'foetal qrs'},{'foetal qrs'},1,1
fr,{'face recognit'},{'face recognition'},1,1
frb,{'fuzzi rule base'},{'fuzzy-rule-based'},1,1
frcn,{'full resolut convolut network'},{'full resolution convolutional network'},1,1
frf,"{'fast random forest', 'frequenc respons function'}","{'frequency response function', 'fast random forest'}",2,2
frft,{'fraction fourier transform'},{'fractional fourier transform'},1,1
frpca,{'fuzzi robust princip compon analysi'},{'fuzzy robust principal component analysis'},1,1
frs,{'fiber reinforc soil'},{'fiber-reinforced soil'},1,1
fs,{'featur select'},{'feature selection'},1,1
fs-lssvm,{'fix size lssvm'},{'fixed size lssvm'},1,1
fsms,{'finit state machin'},{'finite-state machines'},1,1
fsr,{'farm system research'},{'farming systems research'},1,1
fsvm,{'fuzzi support vector machin'},{'fuzzy support vector machine'},1,1
ftir,{'fourier transform infrar'},{'fourier transform infrared'},1,1
fts,{'financi time seri'},{'financial time series'},1,1
fv,{'fisher vector'},{'fisher vector'},1,1
fwi,{'fire weather index'},{'fire weather index'},1,1
fxa,{'factor xa'},{'factor xa'},1,1
ga,{'genet algorithm'},"{'genetic algorithm', 'genetic algorithms'}",2,2
ga-sa,{'hybrid genet algorithm simul anneal algorithm'},{'hybrid genetic algorithm-simulated annealing algorithm'},1,1
gacs,{'geodes activ contour'},{'geodesic active contours'},1,1
gan,{'generat adversari network'},"{'generative adversarial networks', 'generative adversarial network'}",2,2
gan hemt,{'gallium nitrid highelectron mobil transistor'},{'gallium nitride highelectron-mobility transistors'},1,1
gans,{'generat adversari network'},{'generative adversarial networks'},1,1
gap-rbf,{'grow and prune rbf network'},{'growing and pruning rbf network'},1,1
gas,{'genet algorithm'},{'genetic algorithms'},1,1
gbdt,{'gradient boost decis tree'},{'gradient boosted decision trees'},1,1
gbm,{'gradient boost machin'},{'gradient boosting machine'},1,1
gbml,"{'genet base machin learn', 'fuzzi genet base machin learn'}","{'fuzzy genetics-based machine learning', 'genetics-based machine learning', 'genetic-based machine learning'}",3,3
gbp,{'general belief propag'},{'generalized belief propagation'},1,1
gbs,{'general birnbaum–saund'},{'generalized birnbaum–saunders'},1,1
gc-ms,{'gas chromatographi mass spectromet'},{'gas chromatography mass spectrometer'},1,1
gcc,{'general cross correl'},{'generalized cross correlation'},1,1
gcforest,{'multi grain cascad forest'},{'multi-grained cascade forest'},1,1
gdop,{'geometr dilut of precis'},{'geometric dilution of precision'},1,1
gdpr,{'profil general data protect regul'},{'profiling general data protection regulation'},1,1
gdv,{'gas discharg visual camera'},{'gas discharge visualization camera'},1,1
general/other,{'reason under uncertainti : :uncertainti in ai'},{'reasoning under uncertainty::uncertainty in ai'},1,1
ges,{'good environment status'},{'good environmental status'},1,1
gf-3,{'gaofen 3'},{'gaofen-3'},1,1
gfpt,{'gradient fix parallel temper'},{'gradient fixing parallel tempering'},1,1
gfs,{'genet fuzzi system'},{'genetic fuzzy systems'},1,1
ggd,{'general gaussian distribut'},{'generalized gaussian distribution'},1,1
ggi,{'graph grammar induct'},{'graph grammar induction'},1,1
gha,{'machin learn and general hebbian algorithm'},{'machine learning and generalized hebbian algorithm'},1,1
gis,{'geograph inform system'},"{'geographical information systems', 'geographic information system'}",2,2
gkp,{'glossokinet potenti'},{'glossokinetic potentials'},1,1
glac,{'gradient local autocorrel'},{'gradient local autocorrelations'},1,1
glcm,"{'gray level co occurr matrix', 'gray level cooccurr matrix'}","{'gray-level co-occurrence matrix', 'gray level cooccurrence matrix', 'gray level co-occurrence matrix'}",3,3
glm,{'general linear model'},"{'generalized linear models', 'generalized linear model'}",2,2
gmdh,{'group method of data handl'},{'group method of data handling'},1,1
gmm,"{'gauss mixtur model', 'gaussian mixtur model'}","{'gauss mixture model', 'gaussian mixture models', 'gaussian mixture model', 'gaussian-mixture-model'}",4,4
gmms,"{'index term gaussian mixtur model', 'gaussian mixtur model'}","{'index terms-gaussian mixture models', 'gaussian mixture models'}",2,2
gmof,{'gaussian model of optic flow'},{'gaussian model of optical flow'},1,1
gmpls,{'general multiprotocol label switch'},{'generalized multiprotocol label switching'},1,1
gmrfs,{'gaussian markov random field'},{'gaussian markov random fields'},1,1
gnss,{'global navig satellit system'},{'global navigation satellite system'},1,1
gold,{'global initi for chronic obstruct lung diseas'},{'global initiative for chronic obstructive lung disease'},1,1
gop,{'gradient orient pyramid'},{'gradient orientation pyramid'},1,1
gp,"{'genet program', 'gaussian process'}","{'genetic programming', 'gaussian process', 'gaussian processes'}",3,3
gpgpu,{'general purpos graphic process unit'},{'general purpose graphics processing unit'},1,1
gpml,{'gaussian process for machin learn'},"{'gaussian process for machine learning', 'gaussian processes for machine learning'}",2,2
gpr,"{'gaussian process regress', 'ground penetr radar'}","{'gaussian processes regression', 'ground penetrating radar', 'ground-penetrating radar', 'gaussian process regression'}",4,4
gps,"{'gaussian process', 'global posit system'}","{'global positioning system', 'gaussian processes'}",2,2
gpso,{'global best particl swarm optim'},{'global best particle swarm optimization'},1,1
gpu,{'graphic process unit'},"{'graphics processing unit', 'graphics processing units'}",2,2
gpus,{'graphic process unit'},{'graphics processing units'},1,1
graphrbm,{'graph regular rbm'},{'graph regularized rbm'},1,1
graphs,{'network theori'},{'network theory'},1,1
grbfnn,{'granular radial basi function neural network'},{'granular radial basis function neural networks'},1,1
grbm,{'gate restrict boltzmann machin'},{'gate restricted boltzmann machine'},1,1
grc,"{'granular comput', 'machin learn granular comput', 'generat rate constraint'}","{'generation rate constraint', 'machine learning granular computing', 'granular computing'}",3,3
grf,{'ground reaction forc'},{'ground reaction force'},1,1
grnn,{'general regress neural network'},"{'generalized regression neural network', 'general regression neural network'}",2,2
grnns,{'general regress neural network'},{'general regression neural networks'},1,1
gru,{'gate recurr unit'},{'gated recurrent unit'},1,1
gs,{'grid scheme'},{'grid scheme'},1,1
gsa,{'gene select algorithm'},{'gene selection algorithm'},1,1
gsm,{'global system mobil'},{'global system mobile'},1,1
gso,{'general state observ'},{'generalized state observer'},1,1
gsv,{'googl street view'},{'google street view'},1,1
gt,{'gabor transform'},{'gabor transform'},1,1
gtpcs,{'group templat pattern classifi'},{'group template pattern classifiers'},1,1
gwo,{'gray wolf optim'},{'gray wolf optimization'},1,1
gwt,{'gabor wigner transform'},{'gabor-wigner transform'},1,1
h&e,{'hematoxylin and eosin stain'},{'hematoxylin and eosin staining'},1,1
h-elm,{'hierarch extrem learn machin'},{'hierarchical extreme learning machine'},1,1
haadf-stem,{'high angl annular dark field scan transmiss electron microscopi'},"{'high-angle annular dark field scanning transmission electron microscopy', 'high angle annular dark field scanning transmission electron microscopy'}",2,2
hadr,{'humanitarian aid and disast relief'},{'humanitarian aid and disaster relief'},1,1
hais,{'healthcar associ infect'},{'healthcare-associated infections'},1,1
har,"{'human activ recognit', 'human action recognit'}","{'human action recognition', 'human activity recognition'}",2,2
hbp,{'high order backpropag'},{'high-order backpropagation'},1,1
hca,{'hierarch classifi algorithm'},{'hierarchical classifier algorithm'},1,1
hcc,{'hepatocellular carcinoma'},{'hepatocellular carcinoma'},1,1
hccr,"{'handwritten chines charact recognit', 'handwrit chines charact recognit'}","{'handwriting chinese character recognition', 'handwritten chinese character recognition'}",2,2
hci,"{'human comput interact', 'human comput interfac', 'humancomput interfac'}","{'humancomputer interface', 'human computer interaction', 'human-computer interaction', 'human-computer interface'}",4,4
hcs,{'heterogen cluster system'},{'heterogeneous cluster system'},1,1
